Created Shape ID 0 via Manager. Points: 0
Simulation initialized. Seeding particles...
Added Plane: Point(0.00, -5.00, 0.00) Normal(0.00, 1.00, 0.00)
Contact 2: vn=-0.982469, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.473704, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.103359, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.103359, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.155039, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.736852, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.736852, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.105278, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.077520, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.077520, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.116279, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.552639, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.552639, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.828959, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.058140, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.058140, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.087210, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.414479, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.414479, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.621719, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.043605, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.043605, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
